date,month,weekday,entry_hour,return,ticker,entry_time,entry_price,exit_time,exit_price,price_max_ratio,vol_max_ratio,if_price_max,if_vol_max,zero_vol_mins_count,if_vol_count_zero,if_curr_higher_one,if_curr_higher_open,if_curr_not_too_high,if_curr_not_too_high_90_days,if_entry_after_3pm,if_entry_before_10am
2023-01-04,2023-01,2,12,-0.04962779156326557,DMYS,12:42:00,10.075,15:59:00,10.08,99.95,79.22,0,0,181.0,0,1,1,1,1,0,0
2023-01-04,2023-01,2,11,-1.0,TEVA,11:47:00,10.215,13:45:00,10.11285,106.0,77.21,1,0,0.0,1,1,1,1,1,0,0
2023-01-04,2023-01,2,14,0.0,QUAD,14:30:00,4.3242,14:51:00,4.3242,96.09,72.02,0,0,230.0,0,1,0,1,1,0,0
2023-01-04,2023-01,2,13,0.11495324199211004,IX,13:37:00,80.4675,15:59:00,80.56,96.68,72.76,0,0,188.0,0,1,0,1,1,0,0
2023-01-04,2023-01,2,10,-1.0,LDI,10:49:00,1.765,10:57:00,1.74735,95.43,76.97,0,0,17.0,0,1,1,1,1,0,0
2023-01-04,2023-01,2,9,3.0,DADA,09:37:00,10.1,09:39:00,10.402999999999999,111.57,86.18,1,0,0.0,1,1,1,1,1,0,1
2023-01-04,2023-01,2,13,-1.0,LUNA,13:04:00,9.95,13:05:00,9.850499999999998,103.09,105.14,1,1,113.0,0,1,1,1,1,0,0
2023-01-04,2023-01,2,11,-1.0,QD,11:05:00,0.9883,11:37:00,0.978417,99.83,72.01,0,0,7.0,0,0,1,1,1,0,0
2023-01-04,2023-01,2,13,2.2180801491146456,RYAAY,13:26:00,80.475,15:59:00,82.26,100.11,71.24,1,0,55.0,0,1,1,1,1,0,0
2023-01-05,2023-01,3,9,,ORTX,09:31:00,7.0,09:32:00,,130.65,99.12,1,0,0.0,1,1,1,1,0,0,1
2023-01-05,2023-01,3,15,0.7910823444804115,COLL,15:25:00,27.81,15:59:00,28.04,102.73,236.53,1,1,110.0,0,1,1,1,1,1,0
2023-01-05,2023-01,3,14,0.0,DUET,14:57:00,10.14,15:59:00,10.14,96.57,78.8,0,0,312.0,0,1,1,1,1,0,0
2023-01-05,2023-01,3,11,3.0,LIVE,11:36:00,34.25,11:51:00,35.2775,105.2,73.65,1,0,116.0,0,1,1,1,1,0,0
2023-01-05,2023-01,3,10,-1.0,HAYW,10:32:00,11.038,14:26:00,10.92762,97.87,70.52,0,0,2.0,0,1,1,1,1,0,0
2023-01-05,2023-01,3,10,0.0984251968503916,PNAC,10:33:00,10.16,15:59:00,10.175,96.76,169.0,0,1,62.0,0,1,1,1,1,0,0
2023-01-05,2023-01,3,14,-1.0,SUPV,14:10:00,2.329,14:31:00,2.3057100000000004,102.19,71.52,1,0,167.0,0,1,1,1,1,0,0
2023-01-05,2023-01,3,15,-0.6369426751592447,PWSC,15:53:00,23.55,15:59:00,23.51,98.49,75.41,0,0,99.0,0,1,1,1,1,1,0
2023-01-05,2023-01,3,9,,BLPH,09:30:00,2.87,09:31:00,,282.26,7296.29,1,1,0.0,1,1,1,1,0,0,1
2023-01-05,2023-01,3,15,0.0,TGS,15:53:00,12.4,15:59:00,12.4,101.89,71.45,1,0,172.0,0,1,1,1,1,1,0
2023-01-05,2023-01,3,9,3.0,ZLAB,09:35:00,47.0,09:37:00,48.41,117.04,87.69,1,0,0.0,1,1,1,1,1,0,1
2023-01-05,2023-01,3,12,0.0,QD,12:57:00,1.1,13:15:00,1.1,104.67,71.06,1,0,19.0,0,1,1,1,1,0,0
2023-01-05,2023-01,3,15,-1.0,PRAX,15:58:00,2.66,15:59:00,2.6334,99.82,80.6,0,0,137.0,0,1,1,1,1,1,0
2023-01-05,2023-01,3,15,-0.010992634934599446,DOX,15:34:00,90.97,15:59:00,91.045,98.08,72.71,0,0,55.0,0,1,0,1,1,1,0
2023-01-05,2023-01,3,11,0.0,STBX,11:17:00,2.8096,11:19:00,2.8096,95.9,72.86,0,0,52.0,0,1,1,1,1,0,0
2023-01-05,2023-01,3,12,0.0,MURF,12:00:00,10.28,15:59:00,10.28,100.0,111.26,1,1,148.0,0,1,1,1,1,0,0
2023-01-05,2023-01,3,11,0.049726504226760636,ARRW,11:07:00,10.055,15:59:00,10.06,100.1,164.39,1,1,94.0,0,1,1,1,1,0,0
2023-01-05,2023-01,3,15,0.1427212178877314,FNA,15:58:00,21.02,15:59:00,21.05,98.6,72.8,0,0,113.0,0,1,1,1,1,1,0
2023-01-05,2023-01,3,10,0.0,ABCM,10:37:00,16.76,15:18:00,16.76,95.07,70.83,0,0,22.0,0,1,1,1,1,0,0
2023-01-05,2023-01,3,12,0.0,MTRX,12:57:00,7.31,13:20:00,7.31,107.98,104.11,1,1,96.0,0,1,1,1,1,0,0
2023-01-05,2023-01,3,9,,ABVC,09:30:00,1.2213,09:31:00,,146.24,2837.79,1,1,0.0,1,1,1,1,0,0,1
2023-01-05,2023-01,3,12,-1.0,KRMD,12:21:00,3.65,12:39:00,3.6135,99.18,100.1,0,1,151.0,0,1,1,1,1,0,0
2023-01-05,2023-01,3,11,-1.0,HGBL,11:32:00,2.7012,11:55:00,2.674188,95.11,153.16,0,1,82.0,0,1,1,1,1,0,0
2023-01-05,2023-01,3,12,0.0,FKWL,12:35:00,4.83,12:55:00,4.83,107.57,73.44,1,0,171.0,0,1,1,1,1,0,0
2023-01-05,2023-01,3,12,0.4916420845624455,FLFV,12:31:00,10.17,15:59:00,10.22,95.58,107.26,0,1,178.0,0,1,1,1,1,0,0
2023-01-05,2023-01,3,9,1.6857878716928092,SUN,09:52:00,42.71,15:59:00,43.49,95.27,126.0,0,1,10.0,0,1,1,1,1,0,1
2023-01-05,2023-01,3,15,0.04761149023964631,ZBH,15:58:00,126.02,15:59:00,126.09,96.34,70.91,0,0,9.0,0,1,0,1,1,1,0
2023-01-05,2023-01,3,15,1.76125244618395,AVHI,15:01:00,10.22,15:59:00,10.4,98.36,77.46,0,0,318.0,0,1,1,1,1,1,0
2023-01-05,2023-01,3,14,-1.0,AQU,14:48:00,10.48,14:50:00,10.3752,102.43,231.19,1,1,317.0,0,1,1,1,1,0,0
2023-01-05,2023-01,3,12,0.0,ESP,12:53:00,15.42,13:13:00,15.42,102.19,74.79,1,0,180.0,0,1,1,1,1,0,0
2023-01-05,2023-01,3,10,-1.0,NVCN,10:48:00,17.19,10:49:00,17.0181,101.12,79.74,1,0,62.0,0,1,1,1,1,0,0
2023-01-05,2023-01,3,9,0.0,NVCR,09:30:00,105.6599,09:32:00,105.6599,125.46,156.48,1,1,0.0,1,1,1,1,0,0,1
2023-01-05,2023-01,3,10,-1.0,NEU,10:19:00,325.09,10:48:00,321.8391,97.08,71.21,0,0,31.0,0,1,0,1,1,0,0
2023-01-05,2023-01,3,9,-1.0,INAB,09:53:00,2.73,10:10:00,2.7027,98.91,74.61,0,0,11.0,0,1,0,1,1,0,1
2023-01-05,2023-01,3,10,-1.0,ALEC,10:30:00,9.225,10:52:00,9.13275,95.99,97.69,0,0,16.0,0,1,1,1,1,0,0
2023-01-05,2023-01,3,10,-1.0,SDPI,10:40:00,0.9878,10:48:00,0.977922,103.98,90.69,1,0,56.0,0,0,1,1,1,0,0
2023-01-05,2023-01,3,13,-1.0,BPRN,13:36:00,31.825,13:38:00,31.50675,96.44,70.06,0,0,233.0,0,1,1,1,1,0,0
2023-01-05,2023-01,3,12,0.0,FULC,12:49:00,8.3,12:54:00,8.3,99.46,73.62,0,0,24.0,0,1,1,1,1,0,0
2023-01-05,2023-01,3,10,0.0,VRAY,10:16:00,4.8,10:26:00,4.8,99.49,71.13,0,0,0.0,1,1,1,1,1,0,0
2023-01-05,2023-01,3,11,-1.0,TBIO,11:54:00,1.37,12:20:00,1.3563,98.56,70.11,0,0,132.0,0,1,1,1,1,0,0
2023-01-05,2023-01,3,11,,AMTD,11:10:00,2.471,11:11:00,,97.66,119.56,0,1,0.0,1,1,1,0,1,0,0
2023-01-05,2023-01,3,15,-1.0,IRDM,15:12:00,53.73,15:14:00,53.1927,97.85,73.64,0,0,68.0,0,1,1,1,1,1,0
2023-01-05,2023-01,3,13,0.0,INTA,13:13:00,25.715,15:22:00,25.715,97.81,110.52,0,1,193.0,0,1,1,1,1,0,0
2023-01-05,2023-01,3,13,-1.0,IMNM,13:26:00,5.38,13:28:00,5.3262,106.43,74.99,1,0,142.0,0,1,1,0,1,0,0
2023-01-05,2023-01,3,14,-0.0979431929481054,BRKH,14:24:00,10.21,15:59:00,10.2,95.42,71.01,0,0,289.0,0,1,0,1,1,0,0
2023-01-05,2023-01,3,13,-0.0764525993883821,GEF.B,13:03:00,78.48,15:59:00,78.64,97.45,76.56,0,0,201.0,0,1,0,1,1,0,0
2023-01-05,2023-01,3,14,-0.09652509652509447,PHYT,14:55:00,10.36,15:59:00,10.35,100.1,90.1,1,0,323.0,0,1,1,1,1,0,0
