,symbol,date,time,symbol_date,order,weekday,after_3_pm,high_current_or_close_check,nine_days_close_check,if_exceed_previous_high,moving_volume,previous_volume_max,volume_ratio,entry_price,previous_high,open_price,open_ratio,amount,if_larger_20m,close,close_ratio,next_1_day_close,next_1_day_close_ratio,next_2_days_close,next_2_days_close_ratio,next_1_week_close,next_1_week_close_ratio,same_day_high,same_day_high_ratio,if_current_to_open_too_high
190,BHVN,2020/11/18,,BHVN2020/11/18,0,3,0,,1,0,662014,270100,2.450995927,99.755,98.32,97.84,1.957277187,66039206.57,1,98.24,-1.518720866,96.76,-3.002355772,98.14,-1.618966468,89.62,-10.15989173,100.77,1.017492858,0
191,TITN,2020/11/18,,TITN2020/11/18,0,3,0,,1,0,186233,135603,1.373369321,18.88,17.75,17.965,5.093236849,3516079.04,0,18.41,-2.48940678,18.46,-2.224576271,18.33,-2.913135593,18.53,-1.853813559,19.04,0.847457627,0
192,GCO,2020/11/18,,GCO2020/11/18,,3,1,1,1,0,201021,127600,1.575399687,30.69,28.72,29.05,5.645438898,6169334.49,0,,,32.52,5.96285435,31.72,3.356142066,32.15,4.757249919,,,0
193,NESR,2020/11/18,,NESR2020/11/18,,3,1,1,1,1,149350,92288,1.618303571,8.715,8.2,7.92,10.03787879,1301585.25,0,,,8.32,-4.532415376,8.31,-4.647160069,9.02,3.499713138,,,0
194,SONO,2020/11/19,,SONO2020/11/19,0,4,0,,1,0,3646768,2319256,1.572387007,20.56,21.35,20.245,1.555939738,74977550.08,1,22.19,7.928015564,20.94,1.848249027,21.44,4.280155642,21.24,3.307392996,22.37,8.803501946,0
195,BERY,2020/11/19,,BERY2020/11/19,0,4,0,,1,0,962838,675175,1.426056948,57.45,55.48,57.115,0.586535936,55315043.1,1,55.15,-4.003481288,54,-6.005221932,54.22,-5.622280244,53.62,-6.666666667,57.94,0.852915579,0
196,LB,2020/11/19,,LB2020/11/19,0,4,0,,1,0,3236264,2229997,1.451241414,38,39.13,39.34,-3.406202339,122978032,1,39.55,4.078947368,39.97,5.184210526,39.98,5.210526316,38.84,2.210526316,39.95,5.131578947,0
197,JACK,2020/11/19,,JACK2020/11/19,0,4,0,,1,0,211571,142939,1.480148875,93.365,92.51,92.25,1.208672087,19753326.42,0,90.73,-2.822256734,91.24,-2.276013495,90.65,-2.907941948,91.72,-1.761902212,94.51,1.226369625,0
198,EL,2020/11/19,,EL2020/11/19,0,4,0,,1,0,833751,600970,1.38734213,244.535,259.775,245.45,-0.372784681,203881300.8,1,241.92,-1.069376572,240.56,-1.625534177,239.7,-1.977222075,245.94,0.574559879,246.87,0.954873535,0
199,NUAN,2020/11/19,,NUAN2020/11/19,0,4,0,,1,0,2132786,1561889,1.365517012,38.1,36.5,36.875,3.322033898,81259146.6,1,39.71,4.225721785,41.33,8.477690289,42.42,11.33858268,42.72,12.12598425,40.08,5.196850394,0
200,FLIR,2020/11/19,,FLIR2020/11/19,0,4,0,,1,0,525764,358930,1.464809294,36.39,38.87,37.76,-3.628177966,19132551.96,0,37.59,3.297609233,38.03,4.506732619,38.95,7.034899698,39.13,7.529541083,37.88,4.094531465,0
201,CATO,2020/11/19,,CATO2020/11/19,0,4,0,,1,0,114392,85556,1.337042405,8.275,9.1,8,3.4375,946593.8,0,8.04,-2.839879154,8.29,0.181268882,8.43,1.873111782,8.72,5.377643505,8.39,1.389728097,0
202,BILI,2020/11/19,,BILI2020/11/19,1,4,0,,1,1,2512613,1686567,1.489779534,55.3539,54,49.95,10.81861862,139082928.7,1,58.46,5.611348071,60,8.393446532,63.32,14.39121724,64.86,17.1733157,59.38,7.273380918,0
203,ICHR,2020/11/19,,ICHR2020/11/19,0,4,0,,1,0,174997,94047,1.860739843,29.795,29.47,28.12,5.956614509,5214035.615,0,29.37,-1.426413828,29.17,-2.097667394,31.06,4.245678805,33.23,11.52878,29.94,0.486658835,0
204,APPN,2020/11/19,,APPN2020/11/19,0,4,0,,1,0,397916,302657,1.314742431,120.285,118.17,111.61,7.772601021,47863326.06,1,119,-1.06829613,125.06,3.969738538,137.04,13.92941763,193.87,61.17554142,123,2.257139294,0
205,KURA,2020/11/19,,KURA2020/11/19,0,4,0,,1,0,484390,341323,1.419154291,36.98,40.62,37.42,-1.175841796,17912742.2,0,36.72,-0.703082747,36.62,-0.973499189,37.17,0.513791239,36.38,-1.622498648,38.2,3.299080584,0
206,ZBRA,2020/11/19,,ZBRA2020/11/19,0,4,0,,1,0,197916,102858,1.924167299,354.335,362.58,335.61,5.579392748,70128565.86,1,358.39,1.144397251,354.99,0.184853317,362.69,2.357938109,377,6.396489198,367.66,3.760565566,0
