return,entry_time,entry_price,exit_time,exit_price,price_max_ratio,vol_max_ratio,zero_vol_mins_count,if_curr_higher_one,if_curr_higher_open,if_curr_not_too_high,if_curr_not_too_high_90_days,ticker
0.0,2022-12-08 13:44:00,10.07,2022-12-08 15:59:00,10.07,99.6,70.0,0,1,1,1,1,ROSS
,2022-12-08 14:00:00,2.6308,2022-12-08 14:01:00,,96.03,81.05,0,1,1,1,1,WRAP
-0.5836575875486372,2022-12-08 14:50:00,7.71,2022-12-08 15:59:00,7.685,97.35,77.46,0,1,1,1,1,HLN
0.09161704076959747,2022-12-08 15:09:00,10.915,2022-12-08 15:59:00,10.93,99.54,96.25,0,1,0,1,1,MGI
1.5003815905560427,2022-12-08 15:11:00,18.4753,2022-12-08 15:59:00,18.7525,97.49,82.54,0,1,0,1,1,GHI
0.4047589844229097,2022-12-08 15:29:00,40.765,2022-12-08 15:59:00,40.98,96.19,85.71,0,1,1,1,1,ARMK
0.09264978381715265,2022-12-08 15:56:00,16.19,2022-12-08 15:59:00,16.22,95.29,72.07,0,1,0,1,1,CNHI
0.1393534002229575,2022-12-08 15:58:00,35.88,2022-12-08 15:59:00,35.97,101.24,72.0,0,1,1,1,1,EAT
-0.2409638554216816,2022-12-08 15:58:00,12.45,2022-12-08 15:59:00,12.45,99.4,76.21,0,1,1,1,1,AMCR
-0.16869095816464477,2022-12-09 09:30:00,29.64,2022-12-09 15:59:00,29.59,97.76,72.38,0,1,1,1,1,WF
-1.0,2022-12-09 09:30:00,1.19,2022-12-09 09:31:00,1.1781,140.02,1380.47,0,1,1,1,0,CLRO
0.0,2022-12-09 09:30:00,21.91,2022-12-09 15:32:00,21.91,95.28,110.85,0,1,1,1,1,KRG
-1.0,2022-12-09 09:33:00,27.68,2022-12-09 09:34:00,27.4032,114.94,75.83,0,1,1,1,1,ACLX
3.0,2022-12-09 09:38:00,43.365,2022-12-09 09:40:00,44.66595,95.04,72.94,0,1,1,1,1,CHWY
-1.0,2022-12-09 09:39:00,2.83,2022-12-09 09:40:00,2.8017,104.81,70.95,0,1,1,1,1,CJJD
0.0,2022-12-09 09:39:00,68.15,2022-12-09 09:41:00,68.15,113.53,77.03,0,1,1,1,1,JOUT
3.0,2022-12-09 09:41:00,2.27,2022-12-09 09:43:00,2.3381000000000003,96.71,76.69,0,1,0,1,1,TOUR
-1.0,2022-12-09 09:41:00,7.835,2022-12-09 09:42:00,7.75665,108.59,77.47,0,1,1,1,1,MOMO
,2022-12-09 09:43:00,1.55,2022-12-09 09:49:00,,104.03,1545.91,0,1,1,0,1,AMAM
0.0,2022-12-09 09:44:00,13.695,2022-12-09 09:48:00,13.695,96.09,76.9,0,1,0,1,1,CMTL
0.3723171265878268,2022-12-09 09:46:00,45.66,2022-12-09 15:59:00,45.845,99.5,83.19,0,1,1,1,1,TSEM
-1.0,2022-12-09 09:54:00,3.208,2022-12-09 09:55:00,3.17592,95.63,70.59,0,1,1,1,1,HUYA
-0.7016292068022376,2022-12-09 09:55:00,10.0908,2022-12-09 15:59:00,10.02,96.51,74.3,0,1,1,1,1,MCAF
0.9013398294762596,2022-12-09 09:56:00,41.05,2022-12-09 15:59:00,41.43,96.98,80.6,0,1,1,1,1,BTI
-1.0,2022-12-09 10:01:00,5.78,2022-12-09 10:03:00,5.7222,105.1,72.37,0,1,1,1,1,NIU
-1.0,2022-12-09 10:05:00,1.34,2022-12-09 11:54:00,1.3266,97.09,82.71,0,1,1,1,1,CCLP
-1.0,2022-12-09 10:05:00,6.6938,2022-12-09 11:21:00,6.626862,97.01,75.85,0,1,0,1,1,MRM
-1.0,2022-12-09 10:06:00,161.82,2022-12-09 15:09:00,160.2018,97.83,70.46,0,1,1,1,1,MSGS
,2022-12-09 10:42:00,0.839699,2022-12-09 10:43:00,,97.08,70.66,0,0,0,1,1,GRIL
-1.0,2022-12-09 10:47:00,13.605,2022-12-09 13:51:00,13.46895,98.09,71.35,0,1,1,1,1,GNL
,2022-12-09 10:53:00,1.02,2022-12-09 10:54:00,,99.07,182.37,0,1,1,0,1,HILS
,2022-12-09 11:00:00,4.135,2022-12-09 11:01:00,,96.19,300.71,0,1,1,0,1,BIMI
3.0,2022-12-09 11:11:00,4.38,2022-12-09 11:34:00,4.5114,97.99,77.02,0,1,1,0,1,ICLK
,2022-12-09 11:13:00,2.2601,2022-12-09 11:14:00,,137.73,77.45,0,1,1,0,0,ACER
-0.5768949905067855,2022-12-09 11:13:00,136.94,2022-12-09 15:59:00,136.21,99.12,89.01,0,1,1,1,1,KMB
,2022-12-09 11:23:00,233.6225,2022-12-09 11:25:00,,104.16,73.52,0,1,1,1,1,NWLI
0.0,2022-12-09 11:46:00,1.2232,2022-12-09 11:48:00,1.2232,95.45,93.19,0,1,1,1,1,VIOT
-1.0,2022-12-09 12:13:00,16.23,2022-12-09 15:59:00,16.0677,98.36,79.61,0,1,1,1,1,REFI
0.1219512195122142,2022-12-09 12:52:00,8.2,2022-12-09 15:59:00,8.29,100.61,74.01,0,1,1,1,1,ALVO
-1.0,2022-12-09 13:04:00,2.13,2022-12-09 13:10:00,2.1087,101.88,115.22,0,1,1,0,1,MDJH
0.28123402079427157,2022-12-09 15:18:00,117.34,2022-12-09 15:59:00,117.68,96.98,85.83,0,1,1,1,1,ATO
-0.677299780438791,2022-12-09 15:34:00,18.2637,2022-12-09 15:59:00,18.17,95.51,75.99,0,1,0,1,1,UTZ
-1.0,2022-12-09 15:51:00,3.86,2022-12-09 15:53:00,3.8213999999999997,95.08,72.41,0,1,1,1,1,SQNS
0.0,2022-12-09 15:52:00,46.0,2022-12-09 15:59:00,46.0,101.63,73.02,0,1,1,1,1,NBN
-1.0,2022-12-09 15:53:00,9.915,2022-12-09 15:59:00,9.81585,104.98,70.87,0,1,1,0,1,SGU
-0.19960079840318937,2022-12-09 15:54:00,10.02,2022-12-09 15:59:00,10.0,98.27,70.59,0,1,1,1,1,EFHT
-0.2436053593179214,2022-12-09 15:56:00,8.21,2022-12-09 15:59:00,8.21,101.67,70.05,0,1,1,1,1,TME
0.4311583788444915,2022-12-09 15:58:00,34.79,2022-12-09 15:59:00,34.95,103.44,73.21,0,1,1,1,1,YY
,2022-12-12 09:30:00,6.7628,2022-12-12 09:31:00,,172.25,1107.7,0,1,1,1,0,APVO
3.0,2022-12-12 09:31:00,3.5,2022-12-12 09:36:00,3.605,101.74,81.17,0,1,0,1,1,YI
1.292107210618161,2022-12-12 09:31:00,464976.9888,2022-12-12 15:59:00,471220.0,96.37,99.49,0,1,0,1,1,BRK.A
0.685883355000673,2022-12-12 09:32:00,111.535,2022-12-12 15:59:00,112.37,101.52,74.77,0,1,1,1,1,HZNP
0.0,2022-12-12 09:33:00,6.825,2022-12-12 09:40:00,6.825,96.95,76.64,0,1,1,1,1,SILV
-1.0,2022-12-12 09:36:00,20.76,2022-12-12 09:41:00,20.552400000000002,195.05,102.73,0,1,1,0,0,HTGM
,2022-12-12 09:39:00,4.518,2022-12-12 09:40:00,,102.03,75.93,0,1,1,1,1,CJJD
-1.0,2022-12-12 09:41:00,30.26,2022-12-12 10:02:00,29.9574,101.43,72.53,0,1,1,1,1,BOX
