Symbol,Company Name,Industry,Market Cap
BCH,Banco de Chile,Banks - Regional,9859259044
BCLI,Brainstorm Cell Therapeutics,Biotechnology,120587940
BCML,BayCom,Banks - Regional,219281580
BCO,The Brink's Company,Security & Protection Services,3115552000
BCOV,Brightcove,Software - Application,188356485
BCOW,1895 Bancorp of Wisconsin,Banks - Regional,53233483
BCPC,Balchem,Specialty Chemicals,4068785712
BCRX,BioCryst Pharmaceuticals,Biotechnology,1571681407
BCS,Barclays,Banks - Diversified,28324070185
BCSA,Blockchain Coinvestors Acquisition I,Shell Companies,425616600
BCSF,Bain Capital Specialty Finance,Asset Management,769582616
BCTX,BriaCell Therapeutics,Biotechnology,115609100
BCYC,Bicycle Therapeutics,Biotechnology,638548797
BDC,Belden,Communication Equipment,3722051212
BDL,Flanigan's Enterprises,Restaurants,52555187
BDN,Brandywine Realty Trust,REIT - Office,812273440
BDRX,Biodexa Pharmaceuticals,Biotechnology,1976846
BDSX,Biodesix,Diagnostics & Research,145033307
BDTX,Black Diamond Therapeutics,Biotechnology,68949279
BDX,"Becton, Dickinson and Company",Medical Instruments & Supplies,70277105041
BE,Bloom Energy,Electrical Equipment & Parts,4125549940
BEAM,Beam Therapeutics,Biotechnology,2216814512
BEAT,HeartBeam,Health Information Services,18675449
BECN,Beacon Roofing Supply,Building Products & Equipment,3781271395
BEDU,Bright Scholar Education Holdings,Education & Training Services,71342880
BEEM,Beam Global,Solar,160620996
BEKE,KE Holdings,Real Estate Services,23541144899
BELFA,Bel Fuse,Electronic Components,482351356
BELFB,Bel Fuse,Electronic Components,476848824
BEN,Franklin Resources,Asset Management,13479644951
BEP,Brookfield Renewable Partners L.P.,Utilities - Renewable,20146233600
BEPC,Brookfield Renewable,Utilities - Renewable,6019403270
BERY,Berry Global Group,Packaging & Containers,7150460000
BEST,BEST Inc.,Trucking,62094000
BF.A,Brown-Forman,Beverages - Wineries & Distilleries,31013294313
BF.B,Brown-Forman,Beverages - Wineries & Distilleries,30925117764
BFAC,Battery Future Acquisition,Shell Companies,450225000
BFAM,Bright Horizons Family Solutions,Personal Services,4450807298
BFC,Bank First,Banks - Regional,771221412
BFH,Bread Financial Holdings,Credit Services,1519498928
BFI,BurgerFi International,Restaurants,26264204
BFIN,BankFinancial,Banks - Regional,111072500
BFLY,Butterfly Network,Medical Devices,382467200
BFRG,Bullfrog AI Holdings,Health Information Services,95498832
BFRI,Biofrontera,Drug Manufacturers - Specialty & Generic,16289060
BFS,Saul Centers,REIT - Retail,1276918539
BFST,Business First Bancshares,Banks - Regional,430139439
BG,Bunge,Farm Products,14320931520
BGCP,BGC Partners,Capital Markets,1956192501
BGFV,Big 5 Sporting Goods,Specialty Retail,170587270
BGI,Birks Group,Luxury Goods,151908402
BGNE,BeiGene,Biotechnology,22498530110
BGRY,Berkshire Grey,Specialty Industrial Machinery,326659800
BGS,B&G Foods,Packaged Foods,1113005531
BGSF,"BGSF, Inc.",Staffing & Employment Services,114912435
BGXX,Bright Green,Drug Manufacturers - Specialty & Generic,159452427
BH,Biglari Holdings,Restaurants,527472540
BH.A,Biglari Holdings,Restaurants,511878121
BHAC,Crixus BH3 Acquisition Company,Shell Companies,110747154
BHAT,Fujian Blue Hat Interactive Entertainment Technology,Electronic Gaming & Multimedia,6374318
BHB,Bar Harbor Bankshares,Banks - Regional,400043025
BHC,Bausch Health Companies,Drug Manufacturers - Specialty & Generic,2932499635
BHE,Benchmark Electronics,Electronic Components,833674790
BHF,Brighthouse Financial,Insurance - Life,2986105848
BHG,Bright Health Group,Healthcare Plans,138861921
BHIL,Benson Hill,Agricultural Inputs,237895900
BHLB,Berkshire Hills Bancorp,Banks - Regional,1114405670
BHM,Bluerock Homes Trust,,76009898
BHP,BHP Group,Other Industrial Metals & Mining,2.25587E+11
BHR,Braemar Hotels & Resorts,REIT - Hotel & Motel,326801110
BHVN,Biohaven Pharmaceutical Holding Company,Biotechnology,931782695
BIAF,bioAffinity Technologies,Diagnostics & Research,15818828
BIDU,Baidu,Internet Content & Information,52761178033
BIG,Big Lots,Discount Stores,317389544
BIGC,BigCommerce Holdings,Software - Application,662645316
BIIB,Biogen,Drug Manufacturers - General,40171442580
BILI,Bilibili,Electronic Gaming & Multimedia,8998502688
BILL,Bill.com Holdings,Software - Application,8632160040
BIMI,BIMI International Medical,Pharmaceutical Retailers,2093551
BIO,Bio-Rad Laboratories,Medical Devices,14141340549
BIOC,Biocept,Diagnostics & Research,5799992
BIOL,BIOLASE,Medical Devices,6797869
BIOR,Biora Therapeutics,Biotechnology,25621254
BIOS,BioPlus Acquisition,Shell Companies,305996390
